Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
程,清,清,平,直貞,drjieng,三,開,澄,清,192.06,dr-,-jeng,A,drjeng,
樹,,遇,去,常句,dzyuH,三,開,常（禪三）,虞,364.11,dzy-,-ju,C,dzyuH,źjuᶜ
樹,,麌,上,臣庾,dzyuX,三,開,常（禪三）,虞,263.05,dzy-,-ju,B,dzyuX,źjuᴮ
桂,,霽,去,古惠,kwejH,四,合,見,齊,373.58,,,,,
冠,寒(+w),桓,平,古丸,kwan,一,合,見,桓,125.17,k-,-wan,A,kwan,kuânᶜ
冠,,換,去,古玩,kwanH,一,合,見,桓,403.16,k-,-wan,C,kwanH,kuân
却,,藥,入,去約,khjak,三,開,溪,陽,502.32,kh-,-jak,D,khjak,
哭,,屋,入,空谷,khuwk,一,開,溪,東,449.61,kh-,-uwk,D,khuwk,kʰuk
韓,,,,,,,,,,,h-,-an,A,han,
若,,藥,入,而灼,nyak,三,開,日,陽,502.14,ny-,-jak,D,nyak,ńźjak ~ ńźjaᴮ
若,麻,麻,平,人賒,nyæ,三,開,日,麻,169.47,ny-,-jak,D,nyak,"ńźjak,GY also ńźjaᴮ"
若,,馬,上,人者,nyæX,三,開,日,麻,309.34,,,,,ńźjak
源,元,元,平,愚袁,ngwjon,三,合,疑,元,113.04,,,,,
